4286293,/ru/jobs/4286293/,"Кур'єр (мото, вело, авто)",15000
id,href,title,salary
3687089,/ru/jobs/3687089/,"Кур'єр (мото, вело, авто)",no data available
id,href,title,salary
4501460,/ru/jobs/4501460/,"Курьер (пеший, мото, вело, авто)",20000
id,href,title,salary
4528216,/ru/jobs/4528216/,"Кур'єр (мото, вело, авто)",16000
id,href,title,salary
4413364,/ru/jobs/4413364/,"Курьер (вело, мото, авто)",18000
id,href,title,salary
3715703,/ru/jobs/3715703/,"Курьер (мото, вело, авто)",15000
id,href,title,salary
4292797,/ru/jobs/4292797/,Менеджер по интернет-рекламе,12500–25000
id,href,title,salary
3873201,/ru/jobs/3873201/,"Кур'єр (мото, вело, авто)",18000
id,href,title,salary
3873203,/ru/jobs/3873203/,"Кур'єр (мото, вело, авто)",18000
id,href,title,salary
4541881,/ru/jobs/4541881/,"Кур'єр (піший, вело, мото, авто, правий берег)",20000
id,href,title,salary
4541886,/ru/jobs/4541886/,Курьер (пеший),18000
id,href,title,salary
